ref_phon,ref_occurrences,n_substitutions,within_phoneme_error_rate,top_hyp_phon,top_hyp_count,low_confidence
AA,34,5,14.705882352941178,AH,2,no
EH,49,4,8.16326530612245,ER,2,no
T,134,3,2.2388059701492535,EH,1,no
IH,97,3,3.0927835051546393,ER,1,no
R,89,3,3.3707865168539324,M,1,no
S,85,2,2.3529411764705883,JH,1,no
AY,27,2,7.4074074074074066,EY,1,no
AH,184,2,1.0869565217391304,IH,1,no
EY,18,2,11.11111111111111,L,1,no
OW,26,1,3.8461538461538463,UW,1,yes
L,70,1,1.4285714285714286,T,1,yes
SH,10,1,10.0,Y,1,yes
AO,39,1,2.564102564102564,AA,1,yes
B,37,1,2.7027027027027026,T,1,yes
N,101,1,0.9900990099009901,AH,1,yes
IY,56,1,1.7857142857142856,M,1,yes
Z,43,1,2.3255813953488373,AY,1,yes
TH,5,1,20.0,AH,1,yes
G,19,1,5.263157894736842,EY,1,yes
UW,26,1,3.8461538461538463,AH,1,yes
P,32,1,3.125,N,1,yes
