ref_phon,hyp_phon,count,ref_count,pct_of_ref
AA,AH,2,379,0.53
EH,ER,2,519,0.39
AA,AE,1,379,0.26
AA,AO,1,379,0.26
AA,ER,1,379,0.26
AH,AO,1,1702,0.06
AH,IH,1,1702,0.06
AO,AA,1,306,0.33
AY,EY,1,407,0.25
AY,K,1,407,0.25
B,T,1,384,0.26
EH,AH,1,519,0.19
EH,IY,1,519,0.19
EY,IH,1,263,0.38
EY,L,1,263,0.38
G,EY,1,184,0.54
IH,EH,1,1138,0.09
IH,ER,1,1138,0.09
IH,IY,1,1138,0.09
IY,M,1,622,0.16
L,T,1,677,0.15
N,AH,1,1234,0.08
OW,UW,1,255,0.39
P,N,1,338,0.30
R,ER,1,829,0.12
R,M,1,829,0.12
R,SH,1,829,0.12
S,JH,1,873,0.11
S,T,1,873,0.11
SH,Y,1,107,0.93
T,EH,1,1540,0.06
T,IY,1,1540,0.06
T,TH,1,1540,0.06
TH,AH,1,64,1.56
UW,AH,1,402,0.25
Z,AY,1,498,0.20
