ref_phon,hyp_phon,count,ref_count,pct_of_ref
AA,AH,2,34,5.88
EH,ER,2,49,4.08
AA,AE,1,34,2.94
AA,AO,1,34,2.94
AA,ER,1,34,2.94
AH,AO,1,184,0.54
AH,IH,1,184,0.54
AO,AA,1,39,2.56
AY,EY,1,27,3.70
AY,K,1,27,3.70
B,T,1,37,2.70
EH,AH,1,49,2.04
EH,IY,1,49,2.04
EY,IH,1,18,5.56
EY,L,1,18,5.56
G,EY,1,19,5.26
IH,EH,1,97,1.03
IH,ER,1,97,1.03
IH,IY,1,97,1.03
IY,M,1,56,1.79
L,T,1,70,1.43
N,AH,1,101,0.99
OW,UW,1,26,3.85
P,N,1,32,3.12
R,ER,1,89,1.12
R,M,1,89,1.12
R,SH,1,89,1.12
S,JH,1,85,1.18
S,T,1,85,1.18
SH,Y,1,10,10.00
T,EH,1,134,0.75
T,IY,1,134,0.75
T,TH,1,134,0.75
TH,AH,1,5,20.00
UW,AH,1,26,3.85
Z,AY,1,43,2.33
