ref_phoneme,predicted_phoneme,count
AA,AH,3
EY,AE,3
AH,AE,2
AH,EH,2
AH,K,2
AO,AA,2
EH,AH,2
EH,EY,2
ER,R,2
IH,EH,2
L,T,2
M,S,2
OW,AH,2
Z,S,2
AA,AE,1
AA,D,1
AE,IY,1
AH,AA,1
AH,AO,1
AH,IH,1
AH,R,1
AH,Z,1
AO,AH,1
AO,S,1
AW,OW,1
AW,UH,1
AY,AE,1
AY,IH,1
AY,K,1
AY,T,1
B,L,1
B,R,1
B,W,1
CH,N,1
DH,N,1
EH,AA,1
EH,AE,1
EH,ER,1
EH,IY,1
EH,S,1
ER,D,1
EY,AH,1
EY,ER,1
EY,T,1
F,K,1
IH,AH,1
IH,ER,1
IH,EY,1
IH,L,1
IY,IH,1
IY,N,1
JH,K,1
K,AH,1
K,N,1
K,R,1
K,T,1
L,K,1
M,AO,1
N,K,1
OW,AA,1
OW,Z,1
P,L,1
R,AH,1
R,K,1
R,P,1
R,S,1
R,Y,1
S,D,1
S,Z,1
SH,CH,1
SH,K,1
SH,Z,1
T,IY,1
T,JH,1
T,S,1
T,TH,1
T,Z,1
UW,OW,1
V,S,1
W,HH,1
Y,R,1
